"CUSIP.NO";"X";"ISSUER.NAME";"ISSUER.DESCRIPTION";"STATUS"
"82669G 90 4";"";"SIGNATURE BK NEW YORK N Y";"CALL";""
"82669G 95 4";"";"SIGNATURE BK NEW YORK N Y";"PUT";""
"826917 10 6";"*";"SIGA TECHNOLOGIES INC";"COM";""
"826917 90 6";"";"SIGA TECHNOLOGIES INC";"CALL";""
"826917 95 6";"";"SIGA TECHNOLOGIES INC";"PUT";""
"826919 AB 8";"";"SILICON LABORATORIES INC";"NOTE  1.375% 3/0";""
"826919 10 2";"*";"SILICON LABORATORIES INC";"COM";""
"826919 90 2";"";"SILICON LABORATORIES INC";"CALL";""
"826919 95 2";"";"SILICON LABORATORIES INC";"PUT";""
"827048 10 9";"*";"SILGAN HOLDINGS INC";"COM";""
"827048 90 9";"";"SILGAN HOLDINGS INC";"CALL";""
"827048 95 9";"";"SILGAN HOLDINGS INC";"PUT";""
"82706C 10 8";"*";"SILICON MOTION TECHNOLOGY CO";"SPONSORED ADR";""
"82706C 90 8";"";"SILICON MOTION TECHNOLOGY CO";"CALL";""
"82706C 95 8";"";"SILICON MOTION TECHNOLOGY CO";"PUT";""
"82710M 10 0";"";"SILK ROAD MEDICAL INC";"COM";"ADDED"
"82823L AC 0";"";"SILVER STD RES INC";"NOTE  2.875% 2/0";""
"82835P 10 3";"*";"SILVERCORP METALS INC";"COM";""
"82835P 90 3";"";"SILVERCORP METALS INC";"CALL";""
"82835P 95 3";"";"SILVERCORP METALS INC";"PUT";""
"828359 10 9";"";"SILVERCREST ASSET MGMT GROUP";"CL A";""
"82836G 10 2";"";"SILVERBOW RES INC";"COM";""
"828363 10 1";"";"SILVERCREST METALS INC";"COM";""
"82846H 20 7";"";"SILVERSUN TECHNOLOGIES INC";"COM NEW";""
"828730 20 0";"*";"SIMMONS 1ST NATL CORP";"CL A $1 PAR";""
"828730 90 0";"";"SIMMONS 1ST NATL CORP";"CALL";""
"828730 95 0";"";"SIMMONS 1ST NATL CORP";"PUT";""
"828806 10 9";"*";"SIMON PPTY GROUP INC NEW";"COM";""
"828806 90 9";"";"SIMON PPTY GROUP INC NEW";"CALL";""
"828806 95 9";"";"SIMON PPTY GROUP INC NEW";"PUT";""
"82900L 10 2";"*";"SIMPLY GOOD FOODS CO";"COM";""
"82900L 90 2";"";"SIMPLY GOOD FOODS CO";"CALL";""
"82900L 95 2";"";"SIMPLY GOOD FOODS CO";"PUT";""
"829073 10 5";"*";"SIMPSON MANUFACTURING CO INC";"COM";""
"829073 90 5";"";"SIMPSON MANUFACTURING CO INC";"CALL";" "
"829073 95 5";"";"SIMPSON MANUFACTURING CO INC";"PUT";" "
"829214 10 5";"*";"SIMULATIONS PLUS INC";"COM";" "
"829214 90 5";"";"SIMULATIONS PLUS INC";"CALL";" "
"829214 95 5";"";"SIMULATIONS PLUS INC";"PUT";" "
"829226 10 9";"*";"SINCLAIR BROADCAST GROUP INC";"CL A";" "
"829226 90 9";"";"SINCLAIR BROADCAST GROUP INC";"CALL";" "
"829226 95 9";"";"SINCLAIR BROADCAST GROUP INC";"PUT";" "
"82935M 10 9";"*";"SINOPEC SHANGHAI PETROCHEMIC";"SPON ADR H";" "
"82935M 90 9";"";"SINOPEC SHANGHAI PETROCHEMIC";"CALL";" "
"82935M 95 9";"";"SINOPEC SHANGHAI PETROCHEMIC";"PUT";" "
"82935V 10 9";"";"SINO GLOBAL SHIPPING AMER LT";"COM";" "
"829392 10 9";"";"SINTX TECHNOLOGIES INC";"COM";" "
"82968B 10 3";"*";"SIRIUS XM HLDGS INC";"COM";" "
"82968B 90 3";"";"SIRIUS XM HLDGS INC";"CALL";" "
"82968B 95 3";"";"SIRIUS XM HLDGS INC";"PUT";" "
"82981J 10 9";"*";"SITE CENTERS CORP";"COM";" "
"82981J 90 9";"";"SITE CENTERS CORP";"CALL";" "
"82981J 95 9";"";"SITE CENTERS CORP";"PUT";" "
"82982L 10 3";"*";"SITEONE LANDSCAPE SUPPLY INC";"COM";" "
"82982L 90 3";"";"SITEONE LANDSCAPE SUPPLY INC";"CALL";" "
"82982L 95 3";"";"SITEONE LANDSCAPE SUPPLY INC";"PUT";" "
"82988R 20 3";"";"SITO MOBILE LTD";"COM NEW";" "
"83001A 10 2";"*";"SIX FLAGS ENTMT CORP NEW";"COM";" "
"83001A 90 2";"";"SIX FLAGS ENTMT CORP NEW";"CALL";" "
"83001A 95 2";"";"SIX FLAGS ENTMT CORP NEW";"PUT";" "
"830566 10 5";"*";"SKECHERS U S A INC";"CL A";" "
"830566 90 5";"";"SKECHERS U S A INC";"CALL";" "
"830566 95 5";"";"SKECHERS U S A INC";"PUT";" "
"830830 10 5";"*";"SKYLINE CHAMPION CORPORATION";"COM";" "
"830830 90 5";"";"SKYLINE CHAMPION CORPORATION";"CALL";" "
"830830 95 5";"";"SKYLINE CHAMPION CORPORATION";"PUT";" "
"83084J 10 3";"";"SKY SOLAR HLDGS LTD";"SPONSORED ADR";" "
"830879 10 2";"*";"SKYWEST INC";"COM";" "
"830879 90 2";"";"SKYWEST INC";"CALL";""
"830879 95 2";"";"SKYWEST INC";"PUT";""
"83088M 10 2";"*";"SKYWORKS SOLUTIONS INC";"COM";""
"83088M 90 2";"";"SKYWORKS SOLUTIONS INC";"CALL";""
"83088M 95 2";"";"SKYWORKS SOLUTIONS INC";"PUT";""
"83088V 10 2";"*";"SLACK TECHNOLOGIES INC";"COM CL A";"ADDED"
"83088V 90 2";"";"SLACK TECHNOLOGIES INC";"CALL";"ADDED"
"83088V 95 2";"";"SLACK TECHNOLOGIES INC";"PUT";"ADDED"
"83125X 10 3";"*";"SLEEP NUMBER CORP";"COM";""
"83125X 90 3";"";"SLEEP NUMBER CORP";"CALL";""
"83125X 95 3";"";"SLEEP NUMBER CORP";"PUT";""
"83175M 20 5";"*";"SMITH & NEPHEW PLC";"SPDN ADR NEW";""
"83175M 90 5";"";"SMITH & NEPHEW PLC";"CALL";""
"83175M 95 5";"";"SMITH & NEPHEW PLC";"PUT";""
"831865 20 9";"*";"SMITH A O CORP";"COM";""
"831865 90 9";"";"SMITH A O CORP";"CALL";""
"831865 95 9";"";"SMITH A O CORP";"PUT";""
"83190B 10 1";"*";"SMART & FINAL STORES INC";"COM";"DELETED"
"83190B 90 1";"";"SMART & FINAL STORES INC";"CALL";"DELETED"
"83190B 95 1";"";"SMART & FINAL STORES INC";"PUT";"DELETED"
"83190L 20 8";"";"SMARTFINANCIAL INC";"COM NEW";""
"83191H 10 7";"*";"SMART SAND INC";"COM";""
"83191H 90 7";"";"SMART SAND INC";"CALL";""
"83191H 95 7";"";"SMART SAND INC";"PUT";""
"83200N 10 3";"*";"SMARTSHEET INC";"COM CL A";""
"83200N 90 3";"";"SMARTSHEET INC";"CALL";""
"83200N 95 3";"";"SMARTSHEET INC";"PUT";""
"832154 20 7";"*";"SMITH MICRO SOFTWARE INC";"COM NEW";""
"832154 90 7";"";"SMITH MICRO SOFTWARE INC";"CALL";""
"832154 95 7";"";"SMITH MICRO SOFTWARE INC";"PUT";""
"832682 20 7";"*";"SMTC CORP";"COM NEW";""
"832682 90 7";"";"SMTC CORP";"CALL";""
"832682 95 7";"";"SMTC CORP";"PUT";""
"832696 40 5";"*";"SMUCKER J M CO";"COM NEW";""
"832696 90 5";"";"SMUCKER J M CO";"CALL";""
"832696 95 5";"";"SMUCKER J M CO";"PUT";""
"833034 10 1";"*";"SNAP ON INC";"COM";""
"833034 90 1";"";"SNAP ON INC";"CALL";""
"833034 95 1";"";"SNAP ON INC";"PUT";""
"83304A 10 6";"*";"SNAP INC";"CL A";""
"83304A 90 6";"";"SNAP INC";"CALL";""
"83304A 95 6";"";"SNAP INC";"PUT";""
"83356Q 10 8";"*";"SO YOUNG INTERNATIONAL INC";"SPONSORED ADS";"ADDED"
"83356Q 90 8";"";"SO YOUNG INTERNATIONAL INC";"CALL";"ADDED"
"83356Q 95 8";"";"SO YOUNG INTERNATIONAL INC";"PUT";"ADDED"
"83362P 30 0";"*";"SOCIAL REALITY INC";"COM CL A NEW";""
"83362P 90 0";"";"SOCIAL REALITY INC";"CALL";""
"83362P 95 0";"";"SOCIAL REALITY INC";"PUT";""
"833635 10 5";"*";"SOCIEDAD QUIMICA MINERA DE C";"SPON ADR SER B";""
"833635 90 5";"";"SOCIEDAD QUIMICA MINERA DE C";"CALL";""
"833635 95 5";"";"SOCIEDAD QUIMICA MINERA DE C";"PUT";""
"83368E 20 0";"";"SOCKET MOBILE INC";"COM NEW";""
"83409V 10 4";"*";"SOGOU INC";"ADR REPSTG A";""
"83409V 90 4";"";"SOGOU INC";"CALL";""
"83409V 95 4";"";"SOGOU INC";"PUT";""
"83410S 10 8";"*";"SOHU COM LTD";"SPONSORED ADS";""
"83410S 90 8";"";"SOHU COM LTD";"CALL";""
"83410S 95 8";"";"SOHU COM LTD";"PUT";""
"83413U 10 0";"*";"SOLAR CAP LTD";"COM";""
"83413U 90 0";"";"SOLAR CAP LTD";"CALL";""
"83413U 95 0";"";"SOLAR CAP LTD";"PUT";""
"83416M 10 5";"*";"SOLAR SR CAP LTD";"COM";""
"83416M 90 5";"";"SOLAR SR CAP LTD";"CALL";""
"83416M 95 5";"";"SOLAR SR CAP LTD";"PUT";""
"83416T AC 4";"";"SOLARCITY CORP";"NOTE  1.625%11/0";""
"83416T AE 0";"";"SOLARCITY CORP";"NOTE12/0";"ADDED"
"83417M 10 4";"*";"SOLAREDGE TECHNOLOGIES INC";"COM";""
"83417M 90 4";"";"SOLAREDGE TECHNOLOGIES INC";"CALL";""
"83417M 95 4";"";"SOLAREDGE TECHNOLOGIES INC";"PUT";""
"83417Q 10 5";"*";"SOLARWINDS CORP";"COM";""
"83417Q 90 5";"";"SOLARWINDS CORP";"CALL";""
"83417Q 95 5";"";"SOLARWINDS CORP";"PUT";""
"83418M 10 3";"*";"SOLARIS OILFIELD INFRSTR INC";"COM CL A";""
"83418M 90 3";"";"SOLARIS OILFIELD INFRSTR INC";"CALL";""
"83418M 95 3";"";"SOLARIS OILFIELD INFRSTR INC";"PUT";""
"8342EP 10 7";"";"SOLITARIO ZINC CORP";"COM";""
"834203 13 5";"";"SOLENO THERAPEUTICS INC";"*W EXP 11/12/201";""
"834203 20 0";"";"SOLENO THERAPEUTICS INC";"COM NEW";""
"83422E 10 5";"*";"SOLID BIOSCIENCES INC";"COM";""
"83422E 90 5";"";"SOLID BIOSCIENCES INC";"CALL";""
"83422E 95 5";"";"SOLID BIOSCIENCES INC";"PUT";""
"834223 11 7";"";"SOLIGENIX INC";"*W EXP 11/14/202";""
"834223 30 7";"";"SOLIGENIX INC";"COM";""
"834251 10 0";"";"SOLITON INC";"COM";""
"83545G 10 2";"*";"SONIC AUTOMOTIVE INC";"CL A";""
"83545G 90 2";"";"SONIC AUTOMOTIVE INC";"CALL";""
"83545G 95 2";"";"SONIC AUTOMOTIVE INC";"PUT";""
"83548F 10 1";"";"SONIM TECHNOLOGIES INC";"COM";"ADDED"
"835495 10 2";"*";"SONOCO PRODS CO";"COM";""
"835495 90 2";"";"SONOCO PRODS CO";"CALL";""
"835495 95 2";"";"SONOCO PRODS CO";"PUT";""
"83558L 10 5";"";"SONOMA PHARMACEUTICALS INC";"COM";"DELETED"
"83558L 11 3";"";"SONOMA PHARMACEUTICALS INC";"*W EXP 01/26/202";""
"83558L 20 4";"";"SONOMA PHARMACEUTICALS INC";"COM NEW";"ADDED"
"835699 30 7";"*";"SONY CORP";"SPONSORED ADR";""
"835699 90 7";"";"SONY CORP";"CALL";""
"835699 95 7";"";"SONY CORP";"PUT";""
"83570H 10 8";"*";"SONOS INC";"COM";""
"83570H 90 8";"";"SONOS INC";"CALL";""
"83570H 95 8";"";"SONOS INC";"PUT";""
"83578Q 20 9";"*";"SOPHIRIS BIO INC";"COM NEW";""
"83578Q 90 9";"";"SOPHIRIS BIO INC";"CALL";""
"83578Q 95 9";"";"SOPHIRIS BIO INC";"PUT";""
"83587F 20 2";"*";"SORRENTO THERAPEUTICS INC";"COM NEW";""
"83587F 90 2";"";"SORRENTO THERAPEUTICS INC";"CALL";""
"83587F 95 2";"";"SORRENTO THERAPEUTICS INC";"PUT";""
"835898 10 7";"*";"SOTHEBYS";"COM";""
"835898 90 7";"";"SOTHEBYS";"CALL";""
"835898 95 7";"";"SOTHEBYS";"PUT";""
"83600C 10 3";"";"SOTHERLY HOTELS INC";"COM";""
"83607A 10 0";"";"SOUND FINL BANCORP INC";"COM";""
"836144 10 5";"";"SOURCE CAP INC";"COM";""
"838518 10 8";"*";"SOUTH JERSEY INDS INC";"COM";""
"838518 90 8";"";"SOUTH JERSEY INDS INC";"CALL";""
"838518 95 8";"";"SOUTH JERSEY INDS INC";"PUT";""
"838518 11 6";"";"SOUTH JERSEY INDS INC";"UNIT 99/99/9999";""
"838884 20 3";"";"SOUTH MTN MERGER CORP";"UNIT 99/99/9999";"ADDED"
"83946P 10 7";"";"SOUTH PLAINS FINANCIAL INC";"COM";"ADDED"
"840441 10 9";"*";"SOUTH ST CORP";"COM";""
"840441 90 9";"";"SOUTH ST CORP";"CALL";""
"840441 95 9";"";"SOUTH ST CORP";"PUT";""
"842587 10 7";"*";"SOUTHERN CO";"COM";""
"842587 90 7";"";"SOUTHERN CO";"CALL";""
"842587 95 7";"";"SOUTHERN CO";"PUT";""
"84265V 10 5";"*";"SOUTHERN COPPER CORP";"COM";""
"84265V 90 5";"";"SOUTHERN COPPER CORP";"CALL";""
"84265V 95 5";"";"SOUTHERN COPPER CORP";"PUT";""
"842873 10 1";"";"SOUTHERN FIRST BANCSHARES IN";"COM";""
"843380 10 6";"";"SOUTHERN MO BANCORP INC";"COM";""
"843395 10 4";"";"SOUTHERN NATL BANCORP OF VA";"COM";""
"84470P 10 9";"*";"SOUTHSIDE BANCSHARES INC";"COM";""
"84470P 90 9";"";"SOUTHSIDE BANCSHARES INC";"CALL";""
"84470P 95 9";"";"SOUTHSIDE BANCSHARES INC";"PUT";""
"844741 10 8";"*";"SOUTHWEST AIRLS CO";"COM";""
"844741 90 8";"";"SOUTHWEST AIRLS CO";"CALL";""
"844741 95 8";"";"SOUTHWEST AIRLS CO";"PUT";""
"844895 10 2";"*";"SOUTHWEST GAS HOLDINGS INC";"COM";" "
"844895 90 2";"";"SOUTHWEST GAS HOLDINGS INC";"CALL";" "
"844895 95 2";"";"SOUTHWEST GAS HOLDINGS INC";"PUT";" "
"84502A 10 4";"";"SOUTHWEST GA FINL CORP";"COM";" "
"845467 10 9";"*";"SOUTHWESTERN ENERGY CO";"COM";" "
"845467 90 9";"";"SOUTHWESTERN ENERGY CO";"CALL";" "
"845467 95 9";"";"SOUTHWESTERN ENERGY CO";"PUT";" "
"84649P AL 9";"";"SPANSION LLC";"NOTE  2.000% 9/0";" "
"846511 10 3";"*";"SPARK ENERGY INC";"CL A COM";" "
"846511 90 3";"";"SPARK ENERGY INC";"CALL";" "
"846511 95 3";"";"SPARK ENERGY INC";"PUT";" "
"846517 10 0";"";"SPARK NETWORKS SE";"SPONSORED ADR";" "
"84652J 10 3";"*";"SPARK THERAPEUTICS INC";"COM";" "
"84652J 90 3";"";"SPARK THERAPEUTICS INC";"CALL";" "
"84652J 95 3";"";"SPARK THERAPEUTICS INC";"PUT";" "
"846784 10 6";"";"SPARTAN ENERGY ACQUISITON CO";"CL A COM STK";" "
"846784 11 4";"";"SPARTAN ENERGY ACQUISITON CO";"UNIT 99/99/9999";" "
"846784 12 2";"";"SPARTAN ENERGY ACQUISITON CO";"*W EXP 08/27/202";" "
"846819 10 0";"*";"SPARTAN MTRS INC";"COM";" "
"846819 90 0";"";"SPARTAN MTRS INC";"CALL";" "
"846819 95 0";"";"SPARTAN MTRS INC";"PUT";" "
"847215 10 0";"*";"SPARTANNASH CO";"COM";" "
"847215 90 0";"";"SPARTANNASH CO";"CALL";" "
"847215 95 0";"";"SPARTANNASH CO";"PUT";" "
"84741T 10 4";"";"SPECIAL OPPORTUNITIES FD INC";"COM";" "
"84741T 30 2";"";"SPECIAL OPPORTUNITIES FD INC";"PFD CONV SE B";" "
"84763A 10 8";"*";"SPECTRUM PHARMACEUTICALS INC";"COM";" "
"84763A 90 8";"";"SPECTRUM PHARMACEUTICALS INC";"CALL";" "
"84763A 95 8";"";"SPECTRUM PHARMACEUTICALS INC";"PUT";" "
"847788 10 6";"*";"SPEEDWAY MOTORSPORTS INC";"COM";" "
"847788 90 6";"";"SPEEDWAY MOTORSPORTS INC";"CALL";" "
"847788 95 6";"";"SPEEDWAY MOTORSPORTS INC";"PUT";" "
"84790A 10 5";"*";"SPECTRUM BRANDS HLDGS INC NE";"COM";" "
"84790A 90 5";"";"SPECTRUM BRANDS HLDGS INC NE";"CALL";" "
"84790A 95 5";"";"SPECTRUM BRANDS HLDGS INC NE";"PUT";""
"84833T 10 3";"*";"SPERO THERAPEUTICS INC";"COM";""
"84833T 90 3";"";"SPERO THERAPEUTICS INC";"CALL";""
"84833T 95 3";"";"SPERO THERAPEUTICS INC";"PUT";""
"84841L 30 8";"";"SPHERE 3D CORP NEW";"COM";""
"84842R 40 3";"";"SPHERIX INC";"COM PAR NEW";"DELETED"
"84842R 50 2";"";"SPHERIX INC";"COM";"ADDED"
"84857L 10 1";"*";"SPIRE INC";"COM";""
"84857L 90 1";"";"SPIRE INC";"CALL";""
"84857L 95 1";"";"SPIRE INC";"PUT";""
"848574 10 9";"*";"SPIRIT AEROSYSTEMS HLDGS INC";"COM CL A";""
"848574 90 9";"";"SPIRIT AEROSYSTEMS HLDGS INC";"CALL";""
"848574 95 9";"";"SPIRIT AEROSYSTEMS HLDGS INC";"PUT";""
"848577 10 2";"*";"SPIRIT AIRLS INC";"COM";""
"848577 90 2";"";"SPIRIT AIRLS INC";"CALL";""
"848577 95 2";"";"SPIRIT AIRLS INC";"PUT";""
"84858T 20 2";"";"SPINNAKER ETF SERIES";"FIELDSTONE UVA";""
"84860W AA 0";"";"SPIRIT RLTY CAP INC NEW";"NOTE  2.875% 5/1";"DELETED"
"84860W AB 8";"";"SPIRIT RLTY CAP INC NEW";"NOTE  3.750% 5/1";""
"84860W 30 0";"*";"SPIRIT RLTY CAP INC NEW";"COM NEW";""
"84860W 90 0";"";"SPIRIT RLTY CAP INC NEW";"CALL";""
"84860W 95 0";"";"SPIRIT RLTY CAP INC NEW";"PUT";""
"84861D 10 3";"";"SPIRIT OF TEX BANCSHARES INC";"COM";""
"84861U 10 5";"*";"SPIRIT MTA REIT";"COM SHS BEN IN";""
"84861U 90 5";"";"SPIRIT MTA REIT";"CALL";""
"84861U 95 5";"";"SPIRIT MTA REIT";"PUT";""
"84863T 10 6";"*";"SPOK HLDGS INC";"COM";""
"84863T 90 6";"";"SPOK HLDGS INC";"CALL";""
"84863T 95 6";"";"SPOK HLDGS INC";"PUT";""
"848637 10 4";"*";"SPLUNK INC";"COM";""
"848637 90 4";"";"SPLUNK INC";"CALL";""
"848637 95 4";"";"SPLUNK INC";"PUT";""
"84920Y 10 6";"*";"SPORTSMANS WHSE HLDGS INC";"COM";""
"84920Y 90 6";"";"SPORTSMANS WHSE HLDGS INC";"CALL";""
"84920Y 95 6";"";"SPORTSMANS WHSE HLDGS INC";"PUT";""
"849343 10 8";"*";"SPRAGUE RES LP";"COM UNIT REP LTD";""
"849343 90 8";"";"SPRAGUE RES LP";"CALL";""
"849343 95 8";"";"SPRAGUE RES LP";"PUT";""
"849431 10 1";"";"SPRING BK PHARMACEUTICALS IN";"COM";""
"85207H 10 4";"";"SPROTT PHYSICAL GOLD TRUST";"UNIT";""
"85207K 10 7";"";"SPROTT PHYSICAL SILVER TR";"TR UNIT";""
"85207Q 10 4";"";"SPROTT PHYSICAL PLAT PALLAD";"UNIT";""
"85207U 10 5";"*";"SPRINT CORPORATION";"COM";""
"85207U 90 5";"";"SPRINT CORPORATION";"CALL";""
"85207U 95 5";"";"SPRINT CORPORATION";"PUT";""
"85208J 10 9";"";"SPROTT FOCUS TR INC";"COM";""
"85208M 10 2";"*";"SPROUTS FMRS MKT INC";"COM";""
"85208M 90 2";"";"SPROUTS FMRS MKT INC";"CALL";""
"85208M 95 2";"";"SPROUTS FMRS MKT INC";"PUT";""
"85208R 10 1";"";"SPROTT PHYSICAL GOLD & SILVE";"TR UNIT";""
"852234 AB 9";"";"SQUARE INC";"NOTE  0.375% 3/0";""
"852234 AD 5";"";"SQUARE INC";"NOTE  0.500% 5/1";"ADDED"
"852234 10 3";"*";"SQUARE INC";"CL A";""
"852234 90 3";"";"SQUARE INC";"CALL";""
"852234 95 3";"";"SQUARE INC";"PUT";""
"852312 30 5";"*";"STAAR SURGICAL CO";"COM PAR $0.01";""
"852312 90 5";"";"STAAR SURGICAL CO";"CALL";""
"852312 95 5";"";"STAAR SURGICAL CO";"PUT";""
"852387 30 7";"";"STAFFING 360 SOLUTIONS INC";"COM PAR";""
"85254C 30 5";"*";"STAGE STORES INC";"COM NEW";""
"85254C 90 5";"";"STAGE STORES INC";"CALL";""
"85254C 95 5";"";"STAGE STORES INC";"PUT";""
"85254J 10 2";"*";"STAG INDL INC";"COM";""
"85254J 90 2";"";"STAG INDL INC";"CALL";""
"85254J 95 2";"";"STAG INDL INC";"PUT";""
"852857 20 0";"*";"STAMPS COM INC";"COM NEW";""
"852857 90 0";"";"STAMPS COM INC";"CALL";""
"852857 95 0";"";"STAMPS COM INC";"PUT";""
"85303B 10 0";"";"STANDARD AVB FINL CORP";"COM";" "
"85336L 10 9";"";"STANDARD DIVERSIFIED INC";"COM CL A";" "
"853666 10 5";"*";"STANDARD MTR PRODS INC";"COM";" "
"853666 90 5";"";"STANDARD MTR PRODS INC";"CALL";" "
"853666 95 5";"";"STANDARD MTR PRODS INC";"PUT";" "
"854231 10 7";"*";"STANDEX INTL CORP";"COM";" "
"854231 90 7";"";"STANDEX INTL CORP";"CALL";" "
"854231 95 7";"";"STANDEX INTL CORP";"PUT";" "
"854502 10 1";"*";"STANLEY BLACK & DECKER INC";"COM";" "
"854502 90 1";"";"STANLEY BLACK & DECKER INC";"CALL";" "
"854502 95 1";"";"STANLEY BLACK & DECKER INC";"PUT";" "
"854502 88 7";"";"STANLEY BLACK & DECKER INC";"UNIT 05/15/2020";" "
"85472N 10 9";"*";"STANTEC INC";"COM";" "
"85472N 90 9";"";"STANTEC INC";"CALL";" "
"85472N 95 9";"";"STANTEC INC";"PUT";" "
"85512C 10 5";"*";"STAR GROUP L P";"UNIT LTD PARTNR";" "
"85512C 90 5";"";"STAR GROUP L P";"CALL";" "
"85512C 95 5";"";"STAR GROUP L P";"PUT";" "
"855244 10 9";"*";"STARBUCKS CORP";"COM";" "
"855244 90 9";"";"STARBUCKS CORP";"CALL";" "
"855244 95 9";"";"STARBUCKS CORP";"PUT";" "
"855668 10 9";"";"STARRETT L S CO";"CL A";" "
"85569C 10 7";"*";"STARTEK INC";"COM";" "
"85569C 90 7";"";"STARTEK INC";"CALL";" "
"85569C 95 7";"";"STARTEK INC";"PUT";" "
"85570W 10 0";"*";"STARS GROUP INC";"COM";" "
"85570W 90 0";"";"STARS GROUP INC";"CALL";" "
"85570W 95 0";"";"STARS GROUP INC";"PUT";" "
"855707 10 5";"*";"STATE AUTO FINL CORP";"COM";" "
"855707 90 5";"";"STATE AUTO FINL CORP";"CALL";" "
"855707 95 5";"";"STATE AUTO FINL CORP";"PUT";" "
"85571B AH 8";"";"STARWOOD PPTY TR INC";"NOTE  4.375% 4/0";" "
"85571B 10 5";"*";"STARWOOD PPTY TR INC";"COM";" "
"85571B 90 5";"";"STARWOOD PPTY TR INC";"CALL";" "
"85571B 95 5";"";"STARWOOD PPTY TR INC";"PUT";""
"857477 10 3";"*";"STATE STR CORP";"COM";""
"857477 90 3";"";"STATE STR CORP";"CALL";""
"857477 95 3";"";"STATE STR CORP";"PUT";""
"85789A 10 5";"";"STEALTH BIOTHERAPEUTICS CORP";"SPONSORED ADS";""
"858098 10 6";"*";"STEEL CONNECT INC";"COM";""
"858098 90 6";"";"STEEL CONNECT INC";"CALL";""
"858098 95 6";"";"STEEL CONNECT INC";"PUT";""
"858119 10 0";"*";"STEEL DYNAMICS INC";"COM";""
"858119 90 0";"";"STEEL DYNAMICS INC";"CALL";""
"858119 95 0";"";"STEEL DYNAMICS INC";"PUT";""
"85814R 10 7";"";"STEEL PARTNERS HLDGS L P";"LTD PRTRSHIP U";""
"858155 20 3";"*";"STEELCASE INC";"CL A";""
"858155 90 3";"";"STEELCASE INC";"CALL";""
"858155 95 3";"";"STEELCASE INC";"PUT";""
"858375 10 8";"*";"STEIN MART INC";"COM";""
"858375 90 8";"";"STEIN MART INC";"CALL";""
"858375 95 8";"";"STEIN MART INC";"PUT";""
"85855A 30 2";"";"STELLAR BIOTECHNOLOGIES INC";"COM";"DELETED"
"858568 10 8";"*";"STELLUS CAP INVT CORP";"COM";""
"858568 90 8";"";"STELLUS CAP INVT CORP";"CALL";""
"858568 95 8";"";"STELLUS CAP INVT CORP";"PUT";""
"85858C 10 7";"*";"STEMLINE THERAPEUTICS INC";"COM";""
"85858C 90 7";"";"STEMLINE THERAPEUTICS INC";"CALL";""
"85858C 95 7";"";"STEMLINE THERAPEUTICS INC";"PUT";""
"858586 10 0";"*";"STEPAN CO";"COM";""
"858586 90 0";"";"STEPAN CO";"CALL";""
"858586 95 0";"";"STEPAN CO";"PUT";""
"858912 10 8";"*";"STERICYCLE INC";"COM";""
"858912 90 8";"";"STERICYCLE INC";"CALL";""
"858912 95 8";"";"STERICYCLE INC";"PUT";""
"85917A 10 0";"*";"STERLING BANCORP DEL";"COM";""
"85917A 90 0";"";"STERLING BANCORP DEL";"CALL";""
"85917A 95 0";"";"STERLING BANCORP DEL";"PUT";""
"85917W 10 2";"";"STERLING BANCORP INC";"COM";""
"859241 10 1";"*";"STERLING CONSTRUCTION CO INC";"COM";""
"859241 90 1";"";"STERLING CONSTRUCTION CO INC";"CALL";""
"859241 95 1";"";"STERLING CONSTRUCTION CO INC";"PUT";""
"860326 10 7";"";"STEWARDSHIP FINL CORP";"COM";""
"860372 10 1";"*";"STEWART INFORMATION SVCS COR";"COM";""
"860372 90 1";"";"STEWART INFORMATION SVCS COR";"CALL";""
"860372 95 1";"";"STEWART INFORMATION SVCS COR";"PUT";""
"860630 10 2";"*";"STIFEL FINL CORP";"COM";""
"860630 90 2";"";"STIFEL FINL CORP";"CALL";""
"860630 95 2";"";"STIFEL FINL CORP";"PUT";""
"860897 10 7";"*";"STITCH FIX INC";"COM CL A";""
"860897 90 7";"";"STITCH FIX INC";"CALL";""
"860897 95 7";"";"STITCH FIX INC";"PUT";""
"861012 10 2";"*";"STMICROELECTRONICS N V";"NY REGISTRY";""
"861012 90 2";"";"STMICROELECTRONICS N V";"CALL";""
"861012 95 2";"";"STMICROELECTRONICS N V";"PUT";""
"861025 10 4";"*";"STOCK YDS BANCORP INC";"COM";""
"861025 90 4";"";"STOCK YDS BANCORP INC";"CALL";""
"861025 95 4";"";"STOCK YDS BANCORP INC";"PUT";""
"86150R 10 7";"";"STOKE THERAPEUTICS INC";"COM";"ADDED"
"86164T 10 7";"";"STONE HBR EMERG MRKTS INC FD";"COM";""
"86164W 10 0";"";"STONE HBR EMERG MKTS TL INC";"COM";""
"861780 10 4";"";"STONECASTLE FINL CORP";"COM";""
"86183P 10 2";"*";"STONERIDGE INC";"COM";""
"86183P 90 2";"";"STONERIDGE INC";"CALL";""
"86183P 95 2";"";"STONERIDGE INC";"PUT";""
"86183Q 10 0";"*";"STONEMOR PARTNERS L P";"COM UNITS INT";""
"86183Q 90 0";"";"STONEMOR PARTNERS L P";"CALL";""
"86183Q 95 0";"";"STONEMOR PARTNERS L P";"PUT";""
"862121 10 0";"*";"STORE CAP CORP";"COM";""
